meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif
Grand prix expérimental,,2007,septembre,,,25fps,,Experimental Film Festival,,Zagreb,Croatie,La Proiezione e cominciata,Tcherny,Oleg,160,25fps,,25fps
Grand Prix,,2011,septembre,,,25fps,,Experimental Film Festival,,Zagreb,Croatie,Manque de preuves,Kwon,Hayoun,396,25fps,,25fps
Mention spéciale du jury,,2014,février,,,2Annas,,Film Festival,,Riga,Lettonie,Gli immacolati,Trocker,Ronny,522,2Annas,,2Annas
Prix du meilleur court-métrage expérimental,section internationale,2009,décembre,,,Aguilar de Campoo,,Film Festival,,,Espagne,Phone Tapping,Won Lee,Hee,286,Aguilar de Campoo,,Aguilar de Campoo
Mention spéciale du jury,,2015,septembre,,,AIFF,,Film Festival,,Athènes,Grèce,"Archipels, granites dénudées",Hérétakis,Daphné,12,AIFF,,AIFF
2ème prix Jeunes Talents concours,,2010,,,,Air France,,Concours,,,,Les déplacements internes,Couet,Jean-Christophe,334,Air France,,Air France
Prix Analix Forever,,2011,,,,Analix Forever,galerie,Prix annuel,,Chêne-Bourg,France,858 pages plus au sud,Buchert,Gregory,416,Analix Forever,,Analix Forever
Mention spéciale du jury,,2019,,10/04/20,10/12/20,Animatou,,International Animation Festival,,Genève,Suisse,Swatted,Joffroy Chandoutis,Ismaël,842,Animatou,,Animatou
No violence Award,,2011,mars,,,Ann Arbor,,Film Festival,,Ann Arbor,Etats-Unis,Atlantiques,Diop,Mati,282,Ann Arbor,Ann Arbor,Ann Arbor
Ken Burns Award,,2012,mars,,,Ann Arbor,,Film Festival,,Ann Arbor,Etats-Unis,Manque de preuves,Kwon,Hayoun,396,Ann Arbor,Ann Arbor,Ann Arbor
Prix du film off-limits,,2018,,06/11/20,06/16/20,Annecy,,Film Festival,,Annecy,France,An excavation of us,Bruno,Shirley,749,Annecy,,Annecy
Best experimental work,,2012,,,,Annual Bushwick,,Film Festival,,,Etats-Unis,Naufrage,Durand,Clorinde,254,Annual Bushwick,,Annual Bushwick
Mention honorable,,2018,,09/06/20,09/10/20,Ars Electronica,,Film Festival,,Linz,Autriche,An excavation of us,Bruno,Shirley,749,Ars Electronica,Ars Electronica,Ars Electronica
Prix professionnel,,2011,,,,Artcourtvidéo,,Short Film Festival,,Arles,France,Generatia de sacrificiu,Couet,Jean-Christophe,388,Artcourtvidéo,,Artcourtvidéo
Grand prix du film de recherche,,1999,,,,Aubagne,,Film Festival,,Aubagne,France,Plus tard,,,,Aubagne,,Aubagne
Prix expérimental,,2008,,,,Aubagne,,Film Festival,,Aubagne,France,Under Construction,Liu,Zhenchen,212,Aubagne,,Aubagne
