,meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,event_id,place_id,artist_id,aw_art_valid
23,Prix du public,,2017,novembre,,,BIEFF,,Film Festival,,Bucarest,Roumanie,"I made you, I kill you",Petru Badelita,Alexandru,658,BIEFF,Bieff,Bieff,1399,97,529,
22,Best Directing Award,,2019,,11/06/20,11/10/20,BIEFF,,Experimental Film Festival,,Bucarest,Roumanie,Omarska,Sasindran,Varun,855,BIEFF,Bieff,Bieff,1398,97,679,
24,Norberto Griffa de la création audiovisuelle,,2014,novembre,,,Bienal de la imagen en movimiento,,Film Festival,,Buenos Aires,Argentine,Aequador,Huertas Milan,Laura,452,Bienal de la imagen en movimiento,,Bienal de la imagen en movimiento,1401,114,273,
25,2 ème prix,,2005,,,,Biennale de l'image en mouvement,,Film Festival,,Genève,Suisse,Japon : un pays lointain,Yabuki,Takako,,Biennale de l'image en mouvement,,Biennale de l'image en mouvement,1403,250,,
26,3 ème prix,,2005,,,,Black Maria,,Film Festival,,,Etats-Unis,Courant d'air,Martirosyan,Nora,,Black Maria,,Black Maria,1405,251,,
27,Student jury award,documentaire,2019,,11/17/20,11/24/20,Blue Danube,,Film Festival,,Vienne,Autriche,Swatted,Joffroy Chandoutis,Ismaël,842,Blue Danube,,Blue Danube,1407,65,671,
28,Bobine d'Or,,2009,,,,Bobin'Lilles,,Gala,L'Univers,Lille,France,Brises,Ramirez,Enrique,238,Bobin'Lilles,,Bobin'Lilles,1409,200,208,
29,Meilleure bande son,,2009,,,,Bobin'Lilles,,Gala,L'Univers,Lille,France,Naufrage,Durand,Clorinde,254,Bobin'Lilles,,Bobin'Lilles,1409,200,197,
30,Mention spéciale,documentaire,2016,decembre,,,Bogota Short,,Short Film Festival,,Bogota,Colombie,Isabella Morra,Pagliai,Isabel,574,Bogota Short,Bogota Short Film Fest,Bogota Short Film Festival,1411,155,544,
31,Shine short,,2013,mars-avril,,,Bradford,,Film Festival,,Bradford,Royaume-Unis,Quatro horas descalço,Costa,Ico,438,Bradford,,Bradford,1413,256,291,
32,Meilleur film,,2011,février,,,Brecht Festival,,Film Festival,,Augsburg,Allemagne,Plastic and Glass,Joosse,Tessa,284,Brecht Festival,,Brecht Festival,1415,68,224,
33,Mention spéciale Format Court,,2015,novembre,,,Brest,,Film Festival,,Brest,France,"Archipels, granites dénudées",Hérétakis,Daphné,12,Brest,,Brest,1417,165,,
34,Prix canal+ cocotte minute,,2009,novembre,,,Brest,,Short Film Festival,,Brest,France,Cantor dust man,Loghman,Sébastien,308,Brest,,Brest,1418,165,202,
35,Prix Révélation,,2005,,,,Brest,,Short Film Festival,,Brest,France,La Plaine,Edzard,Roland,,Brest,,Brest,1419,165,,
36,Mention spéciale du jury,film étudiant,2014,avril,,,Bruz,,International Animation Festival,,Rennes,France,Gli immacolati,Trocker,Ronny,522,Bruz,,Bruz,1421,41,309,
37,1er prix,,2009,octobre,,,Busan,,Film Festival,,Busan,Corée du Sud,Phone Tapping,Won Lee,Hee,286,Busan,Busan,Busan,1422,152,227,
38,Grand Prix,,2012,mars,,,Ca'Forscari,,Film Festival,,Venise,Italie,Le jour où le fils de Raïner s'est noyé,Vernhes-Lermusiaux,Aurélien,409,Ca'Forscari,Ca Foscari,Ca’Foscari,1424,103,282,
39,Prix spécial du jury,,2006,,,,Caen,,Short Film Festival,,Caen,France,La Plaine,Edzard,Roland,,Caen,,Caen,1426,257,,
40,3 ème prix Cinéfondation,,2005,,,,Cannes,,Film Festival,,Cannes,France,La Plaine,Edzard,Roland,,Cannes,,Cannes,1428,118,,
41,Grand Prix,,2006,,,,Cannes,,Film Festival,,Cannes,France,Flandres,Dumont,Bruno,,Cannes,,Cannes,1429,118,,
42,Prix IBN,,2009,,,,Catania,,Film Festival,,Catania,Italie,Naufrage,Durand,Clorinde,254,Catania,,Catania,1431,258,197,
43,Best creative short,,2015,avril,,,Cervantes Award,,Prix annuel,Ministère de la culture,Madrid,Espagne,Le Park,Maroufi,Randa,16,Cervantes Award,,Cervantes Award,1433,78,28,False
44,Prix du jury,,2019,,04/04/20,04/06/20,Chalon tout court,,Short Film Festival,,Châlon-sur-Saône,France,Swatted,Joffroy Chandoutis,Ismaël,842,Chalon tout court,,Chalon tout court,1435,259,671,
46,Mention spéciale,,2007,,,,Chicago,,Short Film Festival,,Chicago,Etats-Unis,Under Construction,Liu,Zhenchen,212,Chicago,,Chicago,1438,119,160,
45,Silver plaque,,2014,octobre,,,Chicago,,Film Festival,,Chicago,Etats-Unis,Gli immacolati,Trocker,Ronny,522,Chicago,,Chicago,1437,119,309,
47,Prix Phil Solomon,,2019,,06/05/20,06/09/20,Chicago Underground,,Film Festival,,Chicago,Etats-Unis,Swatted,Joffroy Chandoutis,Ismaël,842,Chicago Underground,,Chicago Underground,1440,119,671,
49,Mention spéciale,,2012,octobre,,,Chypre,,Short Film Festival,,Nicosie,Chypre,Manque de preuves,Kwon,Hayoun,396,Chypre,,Chypre,1443,260,253,
48,Best documentary,compétition internationale,2019,,10/12/20,10/18/20,Chypre,,Short Film Festival,,Nicosie,Chypre,Swatted,Joffroy Chandoutis,Ismaël,842,Chypre,,Chypre,1442,260,671,
50,Mention spéciale du jury,long métrage,2010,octobre,,,Cine B,,Film Festival,,Santiago,Chili,La Quemadura,Ballesteros,René,278,Cine B,,Cine B,1445,215,216,
51,"Prix du court-métrage ""ado""",,2012,mars,,,Ciné-jeune,,Film Festival,,Laon,France,Fireworks,Abbruzzese,Giacomo,380,Ciné-jeune,,Ciné-jeune,1447,261,238,
52,Mention spéciale,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212,Cine'Eco,,Cine'Eco,1449,262,160,
53,Grand Prix jeune public,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212,Cine'Eco,,Cine'Eco,1449,262,160,
54,Grand prix du jury,,2008,,,,Cine'Eco,,Film Festival,,,Portugal,Under Construction,Liu,Zhenchen,212,Cine'Eco,,Cine'Eco,1449,262,160,
55,Prix Joris Ivens,premier film,2010,,,,Cinéma du réel,,Film Festival,,Paris,France,La Quemadura,Ballesteros,René,278,Cinéma du réel,,Cinéma du réel,1451,18,216,
