meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,artist_id,aw_art_valid
Best political documentary,,2012,,,,Couch Fest Film,,Wordwide film festival,,,,Manque de preuves,Kwon,Hayoun,396.0,Couch Fest Film,,Couch Fest Film,253,
Mention spéciale du jury,Yellow Robin,2019,,01/10/20,01/14/20,Curaçao,,International Film Festival,,Rotterdam,Pays-Bas,En Cendres,Rodríguez Triana,Camila,854.0,Curaçao,,Curaçao,831,
Meilleur documentaire,,2012,septembre,,,Curtocircuito,,Short Film Festival,,Saint-Jaques de Compostelle,Espagne,Manque de preuves,Kwon,Hayoun,396.0,Curtocircuito,,Curtocircuito,253,
Prix des nouvelles écritures,,2012,octobre,,,Cutlog,Mont Blanc,Gala,,Paris,France,Manque de preuves,Kwon,Hayoun,396.0,Cutlog,,Cutlog,253,
Prix spécial du jury,,2012,septembre,,,Cutlog,,Gala,,,France,Plastic and Glass,Joosse,Tessa,284.0,Cutlog,,Cutlog,224,
Prix spécial du jury,,2012,,,,Cutlog Paris,,Gala,,Paris,France,Brises,Ramirez,Enrique,238.0,Cutlog Paris,,Cutlog Paris,208,
Prix Ars,computer animation,2016,,,,CyberArts,,Multimedia festival,,,,Tehran-Geles,Nassiri,Arash,29.0,CyberArts,,CyberArts,34,
Award of Hungarian student jury,student-work section,2010,,,,Dialektus,,International Documentary Film Festival,,Budapest,Hongrie,Plastic and Glass,Joosse,Tessa,284.0,Dialektus,,Dialektus,224,
Prix spécial du jury,,2008,décembre,,,Doc en court,,International Documentary Film Festival,,Lyon,France,L'agnosie visuelle,Meigneux,Guillaume,189.0,Doc en court,,Doc en court,185,
Grand Prix,,2010,,,,Documenta,,International Documentary Film Festival,,Madrid,Espagne,La Quemadura,Ballesteros,René,278.0,Documenta,Documenta,Documenta,216,
Meilleur court-métrage,,2016,avril,,,DOKer,,International Documentary Film Festival,,Moscou,Russie,Isabella Morra,Pagliai,Isabel,574.0,DOKer,,DOKer,544,
Mention spéciale,,2016,aout,,,Dokufest,,International Documentary Film Festival,,Priznen,Kosovo,Le Park,Maroufi,Randa,16.0,Dokufest,,Dokufest,28,False
Mention spéciale du jury,,2016,mai-juin,,,Dresden,,Short Film Festival,,Dresden,Allemagne,Le Park,Maroufi,Randa,16.0,Dresden,,Dresden,28,False
Meilleur court-métrage,,2016,juillet,,,Du Cinéma sous les étoiles,,Film Festival,,Lyon,France,Isabella Morra,Pagliai,Isabel,574.0,Du Cinéma sous les étoiles,,Du Cinéma sous les étoiles,544,
Prix Scam* Jeune talent,,2008,,,,E-Magiciens,,Film Festival,,,France,Le Corso,Dezoteux,Bertrand,248.0,E-Magiciens,,E-Magiciens,172,
Prix du dialogue,,2016,avril,,,EMAF,,Multimedia festival,,Osnabruck,Allemagne,Le Park,Maroufi,Randa,16.0,EMAF,,EMAF,28,False
EMAF,,2012,avril,,,EMAF,,Multimedia festival,,Osnabruck,Allemagne,Manque de preuves,Kwon,Hayoun,396.0,EMAF,,EMAF,253,
Grand prix du court-métrage,,2003,,,,Entrevues,,Film Festival,,Belfort,France,Courant d'air,Martirosyan,Nora,,Entrevues,,Entrevues Belfort – Festival international du film,,
Grand prix du court-métrage,court-métrage,2002,,,,Entrevues,,Film Festival,,Belfort,France,Paul Johnson après sa fuite équatoriale,Maudru,Arnaud,,Entrevues,,Entrevues Belfort – Festival international du film,,
Short film prize,,2010,,,,Environmental,,Film Festival,,Paris,France,Plastic and Glass,Joosse,Tessa,284.0,Environmental,,Environmental,224,
Mention spéciale (mise en scène),,2011,,,,Etiuda,,Film Festival,,Krakowie,Pologne,Le jour où le fils de Raïner s'est noyé,Vernhes-Lermusiaux,Aurélien,409.0,Etiuda,,Etiuda,282,
Silver Dinosaur,,2008,novembre,,,Etiuda & Anima,,Film Festival,,Krakow,Pologne,Un Château en mer,Pfander,Barbel,253.0,Etiuda & Anima,,Etiuda & Anima,,False
Best documentary,competition internationale,2019,,09/13/20,09/17/20,Eureka University,,Film Festival,,Bogota,Colombie,Swatted,Joffroy Chandoutis,Ismaël,842.0,Eureka University,,Eureka University,671,
Prix du jury,,2013,novembre,,,Eurydice,,Film Festival,,Fécamp,France,Ce qui me fait prendre le train,Mazingarbe,Pierre,509.0,Eurydice,,Eurydice,302,
1er prix du jury,,2008,,,,Ex.Is,,Film Festival,,Bilbao,Espagne,Entre un œil et l'autre,Legros,Laetitia,196.0,Ex.Is,,Ex.Is,180,
Mention honorable,,2007,,,,Exground,,Film Festival,,,Allemagne,Under Construction,Liu,Zhenchen,212.0,Exground,,Exground,160,
Prix du jury,,2014,décembre,,,Fémina,,Film Festival,,Rio,Brésil,A idade da pedra,Vaz,Ana,523.0,Fémina,,Fémina,,
Prix numérique,,2008,,,,Festival du cinéma européen,,Film Festival,,Lille,France,Under Construction,Liu,Zhenchen,212.0,Festival du cinéma européen,,Festival du cinéma européen,160,
Meilleur documentaire,,2012,septembre,,,Festival du court métrage de Lille,,Short Film Festival,,Lille,France,Manque de preuves,Kwon,Hayoun,396.0,Festival du court métrage de Lille,,Festival du court métrage de Lille,253,
Meilleur film,Compétition nationale,2015,mai-juin,,,Festival du court métrage indépendant,,Short Film Festival,,Vienne,Autriche,"Of stains, scrap & tires",Brameshuber,Sebastian,5.0,Festival du court métrage indépendant,,Festival du court métrage indépendant,9,
Lenzing Award (bronze),,2014,mai,,,Festival of nations,,Film Festival,,Lenzing,Autriche,Killing a pig without Mao,Huang,Zhenqian,504.0,Festival of nations,,Festival of nations,21,
Mention spéciale,,2008,,,,Festival Vidéo d'Orléans,,Film Festival,,Orléans,France,Under Construction,Liu,Zhenchen,212.0,Festival Vidéo d'Orléans,,Festival Vidéo d'Orléans,160,
Prix Marcel Duchamp,,2008,,,,FIAC,,Gala,,Paris,France,,Grasso,Laurent,,FIAC,,FIAC,,
Prix de l'innovation,,2016,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Ciudad Maya,Padilla Domene,Andrès,680.0,FIDEC,,FIDEC,572,
Prix du jury,,2015,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Chaque fois qu'on se dit au revoir,Liang,Chao,586.0,FIDEC,,FIDEC,541,
Mention spéciale,,2009,,,,Film Essay Award,,Prix annuel,Université autonome de Barcelone,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212.0,Film Essay Award,,Film Essay Award,160,
Mention honorable,,2018,,09/27/20,10/06/20,Filmfest Hamburg,,Film Festival,,Hambourg,Allemagne,Una Luna de hierro,Rodriguez,Francisco,785.0,Filmfest Hamburg,,Filmfest Hamburg,678,
Prix du jury,multimédia,2019,,07/10/20,01/19/20,FLIP,,Multimedia festival,,Parthenay,France,Plague,Jibert,Damien,841.0,FLIP,,FLIP,670,
Prix Talents contemporains,,2016,,,,Fondation Schneider,,Fondation,,,France,Focus on infinity,Lavenne,Mathilde,584.0,Fondation Schneider,,Fondation Schneider,539,
Prix talent d'argent,,2011,,,,Fondation Schneider,,Prix annuel,Fondation Schneider,Wattwiller,France,Le cours des cours,Rigaux,Bertrand,135.0,Fondation Schneider,,Fondation Schneider,163,
3ème prix Forward thinking museum,,2011,,,,Forward thinking museum,,Prix annuel,,,,Concrete mirrors,de Beyter,David,356.0,Forward thinking museum,,Forward thinking museum,220,
Premier Prix,,2008,,,,Four Film Festival,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212.0,Four Film Festival,,Four Film Festival,160,
Mention spéciale du jury,,2014,aout,,,Fresh Film Fest,,Film Festival,,Prague,République-Tchèque,Gli immacolati,Trocker,Ronny,522.0,Fresh Film Fest,,Fresh Film Fest,309,
Young jury award,,2019,,11/05/20,11/10/20,Front Doc.,,International Documentary Film Festival,,Aoste,Italie,Swatted,Joffroy Chandoutis,Ismaël,842.0,Front Doc.,,Front Doc.,671,
Best short documentary,,2019,,07/19/20,07/28/20,GIFF,,International Film Festival,,Guanajuto,Mexique,Swatted,Joffroy Chandoutis,Ismaël,842.0,GIFF,Giff,Giff,671,
Prix Seccio Creacio,,2008,septembre,,,Girona,,Film Festival,,Gérone,Espagne,Naufrage,Durand,Clorinde,254.0,Girona,,Girona,197,
Prix spécial du ministère,,2016,,,,GISFF,,Film Festival,,Téhéran,Iran,Focus on infinity,Lavenne,Mathilde,584.0,GISFF,,GISFF,539,
Honorary distinction for best sound design,,2019,,09/15/20,09/21/20,Greek Short,,Film Festival,,Drama,Grèce,Sable noir,Trouboukis,Thanasis,861.0,Greek Short,,Greek Short,899,
Best documentary,,2018,décembre,,,GZDOC,,International Documentary Film Festival,,Guangzhou,Chine,Ondes noires,Joffroy Chandoutis,Ismaël,770.0,GZDOC,,GZDOC,671,
Prix du jury,,2015,novembre,,,Hiroshima,,Film Festival,,Hiroshima,Japon,"Archipels, granites dénudées",Hérétakis,Daphné,12.0,Hiroshima,,Hiroshima,,
Meilleur court-métrage latino-américain,,2018,,06/07/20,06/15/20,Huesca,,Short Film Festival,,Huesca,Espagne,Una Luna de hierro,Rodriguez,Francisco,785.0,Huesca,Huesca,Huesca,678,
Meilleur court-métrage,,2017,fevrier-mars,,,IBAFF,,Film Festival,,Murcia,Espagne,Le Park,Maroufi,Randa,16.0,IBAFF,,IBAFF,28,False
Barcelona vidéodance,,2011,octobre,,,IDN,,Multimedia festival,,Barcelone,Espagne,Continuum,Le Roy,Manon,290.0,IDN,,IDN,229,
Single-screen media gold award,,2007,,,,IFVA,,Film Festival,,Hong-Kong,Chine,Métier à tisser musical,Ng,Kingsley,98.0,IFVA,,IFVA,,
Best short documentary,,2019,,05/02/20,05/12/20,IndieLisboa,,Film Festival,,Lisbonne,Portugal,Swatted,Joffroy Chandoutis,Ismaël,842.0,IndieLisboa,,IndieLisboa,671,
Onda Curta Award,,2006,,,,IndieLisboa,,Film Festival,,Lisbonne,Portugal,La Plaine,Edzard,Roland,,IndieLisboa,,IndieLisboa,,
1 er prix,art-vidéo,2006,,,,Ingenio 400,,Concours,,Madrid,Espagne,Ligne Verte,Mareshal,Laurent,72.0,Ingenio 400,,Ingenio 400,328,
Christian-Berger prize,documentaire,2006,,,,Innsbrück,,Film Festival,,Innsbrück,Autriche,True Love,Edkins,Teboho,96.0,Innsbrück,,Innsbrück,126,False
Golden olive award,,2008,,,,International Bunker,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212.0,International Bunker,,International Bunker,160,
Best documentary,,2008,,,,International student film festival,,Film Festival,,Tel-Aviv,Israël,Under Construction,Liu,Zhenchen,212.0,International student film festival,,International student film festival,160,
Best picture award,,2007,,,,International student film festival,,Film Festival,,Belgrade,Serbie,Under Construction,Liu,Zhenchen,212.0,International student film festival,,International student film festival,160,
Best director award,,2006,,,,International student film festival,,Film Festival,,Tel-Aviv,Israël,La Plaine,Edzard,Roland,,International student film festival,,International student film festival,,
Premio Under 35,,2015,septembre,,,Invideo,,Film Festival,,Milan,Italie,Céos I Phoébé,Rodes,David,564.0,Invideo,,Invideo,41,
Premio Under 35,,2014,septembre,,,Invideo,,Film Festival,,Milan,Italie,Une vie radieuse,Hardt,Meryll,500.0,Invideo,,Invideo,18,
Under 35 award,,2009,septembre,,,Invideo,,Film Festival,,Milan,Italie,Naufrage,Durand,Clorinde,254.0,Invideo,,Invideo,197,
K3 jury award,,2011,décembre,,,K3,,Film Festival,,Vienne,Autriche,Phone Tapping,Won Lee,Hee,286.0,K3,,K3,227,
Mention spéciale du jury,short film,2019,,10/10/20,10/27/20,Kaohsiung,,Film Festival,,Kaohsiung,Taïwan,Swatted,Joffroy Chandoutis,Ismaël,842.0,Kaohsiung,,Kaohsiung,671,
"Second, prix de Taïwan",,2018,,10/19/20,10/04/20,Kaohsiung,,Film Festival,,Kaohsiung,Taïwan,Retour,Huang,Pang-Chuan,764.0,Kaohsiung,,Kaohsiung,667,
Mention spéciale du jury,,2019,,04/17/20,04/21/20,Kiev,,Short Film Festival,,Kiev,Ukraine,Omarska,Sasindran,Varun,855.0,Kiev,,Kiev,679,
Best animation,,2014,,,,Kurzundschön,,Short Film Festival,,,Allemagne,Gli immacolati,Trocker,Ronny,522.0,Kurzundschön,,Kurzundschön,309,
Meilleur montage,,2019,,06/06/20,06/09/20,L'Acharnière,,Film Festival,,Lille,France,Last year when the train passed by,Huang,Pang-Chuan,838.0,L'Acharnière,,L'Acharnière,667,
Prix de l'innovation,,2017,juin,,,L'Acharnière,,Film Festival,,Lille,France,"I made you, I kill you",Petru Badelita,Alexandru,658.0,L'Acharnière,,L'Acharnière,529,
Prix de la mise en scène,,2016,juin,,,L'Acharnière,,Film Festival,,Lille,France,Reinsende auf einem bein,Petru Badelita,Alexandru,569.0,L'Acharnière,,L'Acharnière,529,
Prix de l'innovation,,2016,juin,,,L'Acharnière,,Film Festival,,Lille,France,Cuisine américaine,Pluvinage,Justine,570.0,L'Acharnière,,L'Acharnière,38,
CER des cheminots du Nord-pas -de-Calais,,2011,juin,,,L'Acharnière,,Film Festival,,Lille,France,Toujours moins,Moullet,Luc,375.0,L'Acharnière,,L'Acharnière,92,
Grand Prix,,2010,juin,,,L'Acharnière,,Film Festival,,Lille,France,Plastic and Glass,Joosse,Tessa,284.0,L'Acharnière,,L'Acharnière,224,
Prix CER des cheminots,,2010,juin,,,L'Acharnière,,Film Festival,,Lille,France,Plastic and Glass,Joosse,Tessa,284.0,L'Acharnière,,L'Acharnière,224,
Prix de l'institut des sciences et techniques de Valenciennes,,2009,juin,,,L'Acharnière,,Film Festival,,Lille,France,Faire le mur,Bak,Bertille,250.0,L'Acharnière,,L'Acharnière,192,
Prix jeunes taletns,,2009,juin,,,L'Acharnière,,Film Festival,,Lille,France,Faire le mur,Bak,Bertille,250.0,L'Acharnière,,L'Acharnière,192,
Prix de l'innovation,,2008,,,,L'Acharnière,,Film Festival,,Lille,France,Under Construction,Liu,Zhenchen,212.0,L'Acharnière,,L'Acharnière,160,
